# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiExtension.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiImageType.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiShortcutType.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiVisitor.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/EmojiVisitorExt.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiDelimiterProcessor.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiJiraRenderer.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiNodeFormatter.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiNodeRenderer.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiOptions.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiReference.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiResolvedShortcut.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/EmojiShortcuts.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
flexmark	flexmark-ext-emoji/src/main/java/com/vladsch/flexmark/ext/emoji/internal/package-info.java		ported	ssg-md	2026-03-30	Phase 6		2026-03-30
